AACTAY	mackay
AALTJ	aaltje
AAMYNA	aamina
AARVN	aaron
ABA	aba
ABAD	abad
ABADA	abad
ABADHBY	abudhabi
ABAJA	abuja
ABAR	aabar
ABCR	abcher
ABDJA	abidjan
ABDLRHMAN	abdalrahman
ABDVN	labdon
ABH	aba
ABHAY	abhay
ABHY	abhay
ABLA	aba
ABL	abel
ABL	abel
ABLH	able
ABLHYD	abley
ABLJ	able
ABLT	able
ABLTJ	abeltje
ABLY	abley
ABLYSN	allyson
ABND	abend
ABNR	abner
'ABR	aabar
ABR	aabar
ABRAHAM	abraham
ABRAHYM	abraham
ABRAHYM	abraham
ABRAM	abram
ABRAMSVN	abramson
ABRAPT	abrupt
ABRAYT	abhay
ABRBAC	abbas
ABRG	aberg
ABRG	aberg
ABRKRVMBY	abercrombie
ABRL	abel
ABRLY	abery
ABRMSKY	abrams
ABRT	abrupt
ABRT	abrupt
ABRVTR	abrupt
ABRY	abery
ABRY	abery
ABRYN	bryn
ABRYNY	bryony
ABSTGARTN	obstgarten
ABST	pabst
ABSTRKT	abstract
ABT	aba
ABTYN	abtine
ABV	aba
ABVBA	aboba
ABVDBY	abby
ABVDHABY	abudhabi
ABVHBYB	abby
ABVLYN	abolin
ABVRYMH	abery
ABVT	abbot
ABVT	abbot
ABVTSMYT	abbotsmith
ABYA	abyan
ABYAB	abiab
ABY	abby
ABY	abby
ABYAD	abad
ABYAN	abyan
ABYD	abad
ABY	abby
ABYL	abel
ABYLAK	abyan
ABYNA	abyan
ABYNGM	abyan
ABYNGN	abyan
ACDL	abdul
AC	ac
ACR	ac
ACRNAR	achernar
ACTY	acts
ACTYH	acton
ACY	lacy
ACYLS	daryls
ACYSVN	alyson
ACYT	acts
ADAB	adab
ADAM	adam
ADAMV	adam
ADANA	adana
ADAN	adan
ADANL	adan
ADARA	adhara
ADB	adab
ADBRG	aberg
ADGRYNGLND	adgeringelant
ADGRYNGLNT	adgeringelant
ADGYNGTVN	addington
ADH	ada
ADKAK	adisak
ADKK	adik
ADKRYK	ackroyd
ADKVK	adik
ADKYNZ	adkins
ADKYRK	adar
ADLA	adela
'ADL	fadl
ADL	adel
ADLARDV	adelardo
ADLAYD	hadland
ADLAYD	hadland
ADLHYD	adelheid
ADLMA	adalma
ADL	adel
ADLR	adler
ADLSVN	adelson
ADLY	addy
ADMVND	amand
ADMVNDS	armands
ADMVNDZ	amand
ADMVNZ	adametz
ADMYRALN	admiralen
ADMYRALZ	admiral
ADMYSTVN	edmiston
ADNAMS	adnams
ADNAMZ	adnams
ADNBRAG	abram
ADNBRG	aberg
ADNBRV	anbar
ADNBRVG	aberg
ADNBVRG	aberg
ADRY	badry
ADRY	badry
ADRYANA	adriana
ADRYAN	adrian
ADRYANS	aryans
ADRYN	adrian
ADRYNKLNT	adgeringelant
ADRYNS	aldrins
ADRYNY	adrian
ADRYNY	adrian
ADRYS	audreys
ADSAL	adisak
ADST	adit
ADSVN	madsen
ADT	adit
ADVARD	edvard
ADVARD	edvard
ADVARDSN	harvards
ADVART	adar
ADVLF	adolf
ADVLFSVN	adolfsson
ADVLF	adolf
ADVNCR	advent
ADVNL	advil
ADVNYS	advents
ADVSVMALY	adusumalli
ADVVART	adar
ADY	addy
ADY	addy
ADY	addy
ADY	addy
ADY	addy
ADYH	addy
ADYK	adik
ADYKS	andys
'ADYL	adel
ADYL	adel
ADYLRD	adelardo
ADYNA	adana
ADYNGTVN	addington
ADYNGTVN	addington
ADYS	andys
ADYSAK	adisak
ADYSVN	alyson
ADYT	adit
AFA	afa
AFAF	afaf
AFRA	afra
AFRDYT	hardy
AFRVDYT	alfred
AFTAB	aftab
AFV	afa
AFVRYL	avery
AFYCART	cathcart
AFYF	afaf
AFYGTN	afghan
AFYNGTN	alington
AFYS	amys
AFYSR	amys
AFYVN	abyan
AFZAL	afzal
AFZL	afzal
AGALY	agali
AGAS	agass
AGATY	agate
AGBRN	agren
AGBVRN	agsorn
AG	ag
AGLSTVN	agustin
AGMN	ageno
AGMVZ	gomez
AGNDY	andy
AGNV	agni
AGNVYK	cagney
AGPYAN	agopian
AGR	agra
AGRAVALA	agrawala
AGRN	agren
AGRTN	agren
AGRTVN	agren
AGRYNGLANT	adgeringelant
AGRYNGLND	adgeringelant
AGVLV	agali
AGVR	agra
AGVSTV	agustin
AGVSTYN	augustyn
AGVSTYNLY	augustyn
AGVSTYNY	augustyn
